"Группа";"Дата";"День";"Пара";"Занятия"
"МЦМ-Пф-103";"04.09.2026";"ПТ";"4 пара (14:00-15:25)";"история — вся группа, Вагайская Татьяна Александровна, Лесная"
"МЦМ-Пф-103";"04.09.2026";"ПТ";"5 пара (15:35-16:55)";"иностранный язык — 2 п/г, Буркова Елена Владимировна, Лесная"
"МЦМ-Пф-103";"04.09.2026";"ПТ";"6 пара (17:05-18:25)";"-"
"МЦМ-Пф-103";"04.09.2026";"ПТ";"7 пара (18:35-19:55)";"-"
"МЦМ-Пф-103";"05.09.2026";"СБ";"1 пара (08:30-09:45)";"-"
"МЦМ-Пф-103";"05.09.2026";"СБ";"2 пара (09:55-11:10)";"математика — вся группа, Домарева Ирина Вячеславовна, Лесная"
"МЦМ-Пф-103";"05.09.2026";"СБ";"3 пара (11:30-12:45)";"математика — вся группа, Домарева Ирина Вячеславовна, Лесная"
"МЦМ-Пф-103";"05.09.2026";"СБ";"4 пара (12:55-14:10)";"-"
"МЦМ-Пф-103";"05.09.2026";"СБ";"5 пара (14:20-15:30)";"-"
"МЦМ-Пф-103";"05.09.2026";"СБ";"6 пара (15:40-16:50)";"-"
"МЦМ-Пф-103";"05.09.2026";"СБ";"7 пара (17:00-18:10)";"-"
"СП-Пф-1605";"03.09.2026";"ЧТ";"1 пара (08:30-09:55)";"информатика — 1 п/г, Круглова Юлия Петровна, Кривоусова"
"СП-Пф-1605";"03.09.2026";"ЧТ";"2 пара (10:05-11:30)";"литература — вся группа, Кибардина Татьяна Леонидовна, Кривоусова"
"СП-Пф-1605";"03.09.2026";"ЧТ";"3 пара (12:25-13:50)";"русский язык — вся группа, Кибардина Татьяна Леонидовна, Кривоусова"
"СП-Пф-1605";"03.09.2026";"ЧТ";"4 пара (14:00-15:25)";"физика — вся группа, Силенок Марина Юрьевна, Кривоусова"
"СП-Пф-1605";"03.09.2026";"ЧТ";"5 пара (15:35-16:55)";"-"
"СП-Пф-1605";"03.09.2026";"ЧТ";"6 пара (17:05-18:25)";"-"
"СП-Пф-1605";"03.09.2026";"ЧТ";"7 пара (18:35-19:55)";"-"
"СП-Пф-1605";"04.09.2026";"ПТ";"1 пара (08:30-09:55)";"-"
"СП-Пф-1605";"04.09.2026";"ПТ";"2 пара (10:05-11:30)";"иностранный язык — 2 п/г, Буркова Елена Владимировна, Лесная"
"СП-Пф-1605";"04.09.2026";"ПТ";"3 пара (12:25-13:50)";"иностранный язык — 2 п/г, Буркова Елена Владимировна, Лесная"
"СП-Пф-1605";"04.09.2026";"ПТ";"4 пара (14:00-15:25)";"математика — вся группа, Журавский Константин Сергеевич, Лесная"
"СП-Пф-1605";"04.09.2026";"ПТ";"5 пара (15:35-16:55)";"история — вся группа, Лучинин Александр Васильевич, Лесная"
"СП-Пф-1605";"04.09.2026";"ПТ";"6 пара (17:05-18:25)";"иностранный язык — 1 п/г, Буркова Елена Владимировна, Лесная"
"СП-Пф-1605";"04.09.2026";"ПТ";"7 пара (18:35-19:55)";"-"
"СП-Пф-1605";"05.09.2026";"СБ";"1 пара (08:30-09:45)";"история — вся группа, Лучинин Александр Васильевич, Лесная"
"СП-Пф-1605";"05.09.2026";"СБ";"2 пара (09:55-11:10)";"введение в специальность — вся группа, Костарева Наталья Викторовна, Лесная"
"СП-Пф-1605";"05.09.2026";"СБ";"3 пара (11:30-12:45)";"-"
"СП-Пф-1605";"05.09.2026";"СБ";"4 пара (12:55-14:10)";"-"
"СП-Пф-1605";"05.09.2026";"СБ";"5 пара (14:20-15:30)";"-"
"СП-Пф-1605";"05.09.2026";"СБ";"6 пара (15:40-16:50)";"-"
"СП-Пф-1605";"05.09.2026";"СБ";"7 пара (17:00-18:10)";"-"
"СП-Пф-1606п";"03.09.2026";"ЧТ";"1 пара (08:30-09:55)";"физика — вся группа, Силенок Марина Юрьевна, Кривоусова"
"СП-Пф-1606п";"03.09.2026";"ЧТ";"2 пара (10:05-11:30)";"математика — вся группа, Журавский Константин Сергеевич, Кривоусова"
"СП-Пф-1606п";"03.09.2026";"ЧТ";"3 пара (12:25-13:50)";"математика — вся группа, Журавский Константин Сергеевич, Кривоусова"
"СП-Пф-1606п";"03.09.2026";"ЧТ";"4 пара (14:00-15:25)";"-"
"СП-Пф-1606п";"03.09.2026";"ЧТ";"5 пара (15:35-16:55)";"-"
"СП-Пф-1606п";"03.09.2026";"ЧТ";"6 пара (17:05-18:25)";"-"
"СП-Пф-1606п";"03.09.2026";"ЧТ";"7 пара (18:35-19:55)";"-"
"СП-Пф-1606п";"04.09.2026";"ПТ";"1 пара (08:30-09:55)";"основы безопасности и защиты Родины — вся группа, Тарасов Игорь Викторович, Кривоусова"
"СП-Пф-1606п";"04.09.2026";"ПТ";"2 пара (10:05-11:30)";"техника бесконфликтного общения — вся группа, Рабенок Мария Александровна, Кривоусова"
"СП-Пф-1606п";"04.09.2026";"ПТ";"3 пара (12:25-13:50)";"информатика — 1 п/г, Круглова Юлия Петровна, Кривоусова"
"СП-Пф-1606п";"04.09.2026";"ПТ";"4 пара (14:00-15:25)";"-"
"СП-Пф-1606п";"04.09.2026";"ПТ";"5 пара (15:35-16:55)";"-"
"СП-Пф-1606п";"04.09.2026";"ПТ";"6 пара (17:05-18:25)";"-"
"СП-Пф-1606п";"04.09.2026";"ПТ";"7 пара (18:35-19:55)";"-"
"СП-Пф-1606п";"05.09.2026";"СБ";"1 пара (08:30-09:45)";"математика — вся группа, Журавский Константин Сергеевич, Кривоусова"
"СП-Пф-1606п";"05.09.2026";"СБ";"2 пара (09:55-11:10)";"иностранный язык — 1 п/г, Буркова Елена Владимировна, Кривоусова | информатика — 2 п/г, Круглова Юлия Петровна, Кривоусова"
"СП-Пф-1606п";"05.09.2026";"СБ";"3 пара (11:30-12:45)";"математика — вся группа, Журавский Константин Сергеевич, Кривоусова"
"СП-Пф-1606п";"05.09.2026";"СБ";"4 пара (12:55-14:10)";"иностранный язык — 2 п/г, Буркова Елена Владимировна, Кривоусова"
"СП-Пф-1606п";"05.09.2026";"СБ";"5 пара (14:20-15:30)";"-"
"СП-Пф-1606п";"05.09.2026";"СБ";"6 пара (15:40-16:50)";"-"
